School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,38.99,36.12,75.11,1,1,1
Blue Springs South,33.27,29.99,63.26,2,2,2
Kickapoo,26.56,24.38,50.94,4,5,3
Francis Howell,20.2,27.85,48.06,8,3,4
Jefferson City,30.74,16.96,47.69,3,16,5
Kirkwood,21.68,25.43,47.1,7,4,6
SLUH,25.42,16.31,41.72,5,18,7
Eureka,18.64,22.17,40.81,10,6,8
Lee's Summit West,18.4,21.28,39.68,11,11,9
Rockhurst,22.43,15.58,38.01,6,19,10
Hazelwood Central,16.12,21.43,37.55,15,10,11
Lee's Summit,20.19,16.53,36.72,9,17,12
Raymore-Peculiar,14.21,21.92,36.13,18,9,13
Blue Springs,16.44,19.38,35.82,14,13,14
Lafayette (Wildwood),15.39,18.88,34.27,16,14,15
Marquette,13.86,19.62,33.48,19,12,16
Joplin,17.76,15.56,33.32,13,20,17
Ritenour,14.88,17.92,32.8,17,15,18
Lee's Summit North,10.0,22.0,32.0,20,8,19
Rock Bridge,5.7,22.11,27.81,22,7,20
Ft. Zumwalt West,18.03,7.44,25.47,12,23,21
Timberland,4.65,9.18,13.83,23,22,22
Francis Howell North,-0.3,11.64,11.34,25,21,23
De Smet Jesuit,7.85,-1.11,6.74,21,28,24
Francis Howell Central,-0.2,0.96,0.76,24,27,25
Lindbergh,-1.16,1.09,-0.07,26,26,26
Hickman,-1.79,1.27,-0.52,27,25,27
Hazelwood West,-4.76,3.81,-0.95,29,24,28
Mehlville,-2.02,-1.24,-3.27,28,29,29
Northwest (Cedar Hill),-6.97,-3.95,-10.92,30,31,30
Troy Buchanan,-11.07,-3.49,-14.55,32,30,31
Seckman,-10.57,-4.74,-15.31,31,32,32
