School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Valle Catholic,17.77,12.64,30.41,1,2,1
Thayer,9.52,14.59,24.11,3,1,2
Skyline,17.62,5.04,22.66,2,6,3
Marceline,4.92,9.99,14.91,7,3,4
Marionville,9.26,-0.67,8.6,4,8,5
Lincoln,1.47,6.19,7.67,9,5,6
Lockwood with Golden City,6.9,-1.48,5.42,6,9,7
Mark Twain,1.95,-0.39,1.56,8,7,8
Penney,-2.01,-2.9,-4.91,10,12,9
Midway,-13.39,7.21,-6.19,27,4,10
Osceola,-7.35,-3.86,-11.21,15,13,11
South Harrison,-10.75,-2.37,-13.12,20,11,12
Adrian,-11.54,-2.02,-13.55,23,10,13
West Platte,-5.07,-8.58,-13.65,13,19,14
South Shelby,-9.17,-5.72,-14.89,17,15,15
Westran,-10.7,-6.92,-17.62,19,17,16
Jasper,-10.79,-6.86,-17.65,21,16,17
Polo,7.31,-25.06,-17.75,5,44,18
Wellington-Napoleon,-4.17,-14.13,-18.3,12,29,19
Paris,-9.59,-11.09,-20.69,18,22,20
Knox County,-14.12,-8.13,-22.25,29,18,21
Monroe City,-11.09,-11.58,-22.67,22,23,22
North Platte,-18.58,-4.18,-22.76,37,14,23
Drexel with Miami (Amoret),-8.19,-15.3,-23.49,16,31,24
Mid-Buchanan,-15.14,-10.36,-25.49,31,20,25
Maysville,-5.35,-20.23,-25.58,14,40,26
Plattsburg,-12.81,-12.88,-25.69,26,27,27
Pierce City,-16.95,-12.41,-29.36,33,25,28
Appleton City with Montrose,-2.91,-26.53,-29.45,11,45,29
Cabool,-17.9,-11.65,-29.55,36,24,30
Rich Hill with Hume,-14.72,-16.02,-30.74,30,32,31
Crest Ridge,-12.66,-18.29,-30.95,25,36,32
Windsor,-13.56,-17.85,-31.4,28,34,33
Tipton,-19.2,-12.86,-32.06,38,26,34
Scotland County,-15.91,-17.55,-33.46,32,33,35
Fayette,-19.64,-15.1,-34.74,39,30,36
Gallatin,-24.48,-10.61,-35.09,43,21,37
Archie,-20.79,-19.86,-40.66,40,39,38
Sarcoxie,-20.92,-21.68,-42.59,41,42,39
Milan,-30.12,-14.04,-44.16,51,28,40
St. Vincent,-26.54,-17.9,-44.44,46,35,41
Chaffee,-17.59,-26.99,-44.58,35,46,42
Louisiana,-11.55,-35.18,-46.73,24,52,43
Crystal City,-27.49,-19.27,-46.76,48,38,44
Salisbury,-26.5,-20.99,-47.49,45,41,45
Schuyler County,-29.43,-18.43,-47.86,50,37,46
Princeton with Mercer,-26.7,-22.1,-48.81,47,43,47
Santa Fe,-21.92,-27.31,-49.23,42,47,48
Liberal with Bronaugh,-17.29,-34.29,-51.58,34,51,49
Putnam County,-27.99,-29.85,-57.84,49,48,50
Lone Jack,-25.11,-36.01,-61.12,44,53,51
Harrisburg,-30.67,-36.52,-67.19,52,54,52
Sweet Springs with Malta Bend,-36.67,-31.15,-67.82,55,49,53
Barat Academy,-36.12,-33.02,-69.15,54,50,54
Concordia,-35.03,-39.81,-74.83,53,57,55
North Shelby,-38.69,-37.95,-76.65,56,56,56
Orrick,-47.47,-37.05,-84.52,58,55,57
Slater,-38.84,-47.04,-85.88,57,58,58
